,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\lsass.exe,0009KTXSL,lsass.exe,C:\Windows\system32,4944,NT AUTHORITY\SYSTEM
1,winlogon.exe,0009KTXSL,winlogon.exe,C:\Windows\system32,4596,NT AUTHORITY\SYSTEM
2,\SystemRoot\System32\smss.exe,0009KTXSL,smss.exe,\SystemRoot\System32,4764,NT AUTHORITY\SYSTEM
3,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0009KTXSL,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1172,lotti.richards
4,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0009KTXSL,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5913,lotti.richards
5,wininit.exe,0009KTXSL,wininit.exe,C:\Windows\system32,2384,NT AUTHORITY\SYSTEM
6,"""C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0009KTXSL,opera.exe,C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52,2090,laceylee9
8,C:\Windows\system32\services.exe,0009KTXSL,services.exe,C:\Windows\system32,4924,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\svchost.exe -k LocalService,0009KTXSL,svchost.exe,C:\Windows\system32,5540,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0009KTXSL,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,272,lotti.richards
11,"""C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0009KTXSL,opera.exe,C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52,5255,laceylee9
12,C:\Windows\system32\svchost.exe -k RPCSS,0009KTXSL,svchost.exe,C:\Windows\system32,3988,NT AUTHORITY\SYSTEM
13,C:\Windows\System32\spoolsv.exe,0009KTXSL,spoolsv.exe,C:\Windows\System32,3708,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k DcomLaunch,0009KTXSL,svchost.exe,C:\Windows\system32,728,NT AUTHORITY\SYSTEM
