,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,0009LCTEN,svchost.exe,C:\Windows\system32,6000,NT AUTHORITY\SYSTEM
1,"""C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0009LCTEN,opera.exe,C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52,5549,molly.howa
2,C:\Windows\Explorer.EXE,0009LCTEN,Explorer.EXE,C:\Windows,2896,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",0009LCTEN,MpCmdRun.exe,C:\Program Files\Windows Defender,4396,NT AUTHORITY\SYSTEM
4,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",0009LCTEN,mintty.exe,C:\Program Files\Git\usr\bin,6030,molly.howa
5,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0009LCTEN,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,3036,cartemor
6,"""C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0009LCTEN,opera.exe,C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52,5450,molly.howa
7,C:\Windows\system32\svchost.exe -k RPCSS,0009LCTEN,svchost.exe,C:\Windows\system32,2228,NT AUTHORITY\SYSTEM
8,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0009LCTEN,McDiReg.exe,C:\ProgramData\McAfee\Direct,2615,molly.howa
9,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0009LCTEN,svchost.exe,C:\Windows\System32,4628,NT AUTHORITY\SYSTEM
10,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0009LCTEN,svchost.exe,C:\Windows\system32,3972,NT AUTHORITY\SYSTEM
11,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",0009LCTEN,LogonUI.exe,C:\Windows\system32,400,NT AUTHORITY\SYSTEM
12,"""C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0009LCTEN,opera.exe,C:\Users\molly.howa\AppData\Local\Programs\Opera\56.0.3051.52,3523,molly.howa
13,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0009LCTEN,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5428,molly.howa
14,C:\Windows\System32\svchost.exe -k netsvcs,0009LCTEN,svchost.exe,C:\Windows\System32,4232,NT AUTHORITY\SYSTEM
16,C:\Windows\System32\spoolsv.exe,0009LCTEN,spoolsv.exe,C:\Windows\System32,4192,NT AUTHORITY\SYSTEM
17,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0009LCTEN,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,372,molly.howa
18,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0009LCTEN,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1952,molly.howa
19,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0009LCTEN,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,5791,molly.howa
20,\??\C:\Windows\system32\conhost.exe 0x4,0009LCTEN,conhost.exe,C:\Windows\system32,6028,NT AUTHORITY\SYSTEM
21,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",0009LCTEN,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,5936,NT AUTHORITY\SYSTEM
22,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0009LCTEN,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,5539,molly.howa
