,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0009NDIWE,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1369,grace.harris
1,C:\Windows\system32\svchost.exe -k appmodel,0009NDIWE,svchost.exe,C:\Windows\system32,4140,NT AUTHORITY\SYSTEM
2,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0009NDIWE,McPvTray.exe,C:\Program Files\McAfee\MAT,6431,grace.harris
3,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0009NDIWE,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3078,grace.harris
4,"""C:\Users\thomharr42\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0009NDIWE,opera.exe,C:\Users\thomharr42\AppData\Local\Programs\Opera\56.0.3051.52,4457,thomharr42
5,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0009NDIWE,McDiReg.exe,C:\ProgramData\McAfee\Direct,3757,grace.harris
6,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0009NDIWE,dllhost.exe,C:\Windows\system32,5656,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0009NDIWE,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,1962,grace.harris
8,C:\Windows\Explorer.EXE,0009NDIWE,Explorer.EXE,C:\Windows,5720,NT AUTHORITY\SYSTEM
9,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0009NDIWE,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3233,grace.harris
11,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0009NDIWE,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5512,grace.harris
