,arguments,hostname,name,path,pid,username
0,wininit.exe,0009ZETSN,wininit.exe,C:\Windows\system32,632,NT AUTHORITY\SYSTEM
1,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",0009ZETSN,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,4560,martha.hay
2,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0009ZETSN,svchost.exe,C:\Windows\system32,2056,NT AUTHORITY\SYSTEM
3,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0009ZETSN,svchost.exe,C:\Windows\System32,4740,NT AUTHORITY\SYSTEM
4,"""C:\Windows\system32\notepad.exe"" ",0009ZETSN,notepad.exe,C:\Windows\system32,4961,jayden.foste
5,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0009ZETSN,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,977,zarbake19
6,"""C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0009ZETSN,opera.exe,C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52,2688,darci.wood8
7,\SystemRoot\System32\smss.exe,0009ZETSN,smss.exe,\SystemRoot\System32,3172,NT AUTHORITY\SYSTEM
8,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0009ZETSN,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3852,zarbake19
10,"""C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0009ZETSN,opera.exe,C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52,6375,darci.wood8
11,"""C:\Users\emil.benne\AppData\Local\GoToMeeting\9508\g2mstart.exe"" ""/Action Host"" ""/BrokerServiceSuffix @ISL1"" ""/Build 9508"" ""/Download Auto"" ""/EGWAddress 216.115.208.230"" ""/EGWDNS egwglobal.gotomeeting.com"" ""/EGWPort 80 443 8200"" ""/Mode Normal"" ""/Product g2m"" ""/colClientUiReadyEvent Global\55848945-2CEA-4978-BF24-0C6A3B11E66E"" ""/sessionTrackingId e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP""",0009ZETSN,g2mstart.exe,C:\Users\emil.benne\AppData\Local\GoToMeeting\9508,2773,emil.benne
12,C:\Windows\system32\services.exe,0009ZETSN,services.exe,C:\Windows\system32,5648,NT AUTHORITY\SYSTEM
13,winlogon.exe,0009ZETSN,winlogon.exe,C:\Windows\system32,1604,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k NetworkService,0009ZETSN,svchost.exe,C:\Windows\system32,5652,NT AUTHORITY\SYSTEM
15,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0009ZETSN,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,1515,zarbake19
16,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0009ZETSN,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1929,zarbake19
