#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName"
"Running","AarSvc_1deaeb","Agent Activation Runtime_1deaeb"
"Running","Appinfo","Application Information"
"Running","Apple Mobile Device Service","Apple Mobile Device Service"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)"
"Running","aswbIDSAgent","aswbIDSAgent"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Running","Audiosrv","Windows Audio"
"Running","avast! Antivirus","Avast Antivirus"
"Running","avast! Firewall","Avast Firewall Service"
"Running","avast! Tools","Avast Tools"
"Running","AvastWscReporter","AvastWscReporter"
"Running","AWCCService","AWCCService"
"Running","BDESVC","BitLocker Drive Encryption Service"
"Running","BFE","Base Filtering Engine"
"Running","BluetoothUserService_1deaeb","Bluetooth User Support Service_1deaeb"
"Running","Bonjour Service","Bonjour Service"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service"
"Running","BTAGService","Bluetooth Audio Gateway Service"
"Running","BthAvctpSvc","AVCTP service"
"Running","bthserv","Bluetooth Support Service"
"Running","camsvc","Capability Access Manager Service"
"Running","cbdhsvc_1deaeb","Clipboard User Service_1deaeb"
"Running","CDPSvc","Connected Devices Platform Service"
"Running","CDPUserSvc_1deaeb","Connected Devices Platform User Service_1deaeb"
"Running","CertPropSvc","Certificate Propagation"
"Running","CleanupPSvc","Avast Cleanup"
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service"
"Running","client_service","VMware Horizon Client"
"Running","CmService","Container Manager Service"
"Running","CoreMessagingRegistrar","CoreMessaging"
"Running","cphs","Intel(R) Content Protection HECI Service"
"Running","cplspcon","Intel(R) Content Protection HDCP Service"
"Running","CryptSvc","Cryptographic Services"
"Running","DcomLaunch","DCOM Server Process Launcher"
"Running","DDVCollectorSvcApi","Dell Data Vault Service API"
"Running","DDVDataCollector","Dell Data Vault Collector"
"Running","DDVRulesProcessor","Dell Data Vault Processor"
"Running","Dell Digital Delivery Services","Dell Digital Delivery Services"
"Running","Dell Hardware Support","Dell Hardware Support"
"Running","Dell SupportAssist Remediation","Dell SupportAssist Remediation"
"Running","DellClientManagementService","Dell Client Management Service"
"Running","DeviceAssociationService","Device Association Service"
"Running","Dhcp","DHCP Client"
"Running","DiagTrack","Connected User Experiences and Telemetry"
"Running","DispBrokerDesktopSvc","Display Policy Service"
"Running","DisplayEnhancementService","Display Enhancement Service"
"Running","Dnscache","DNS Client"
"Running","DoSvc","Delivery Optimization"
"Running","DPS","Diagnostic Policy Service"
"Running","DriverUpdSvc","Avast Driver Updater"
"Running","DsSvc","Data Sharing Service"
"Running","DusmSvc","Data Usage"
"Running","EFS","Encrypting File System (EFS)"
"Running","esifsvc","Intel(R) Dynamic Tuning service"
"Running","EventLog","Windows Event Log"
"Running","EventSystem","COM+ Event System"
"Running","FDResPub","Function Discovery Resource Publication"
"Running","FontCache","Windows Font Cache Service"
"Running","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0"
"Running","ftnlsv3hv","VMware Netlink Supervisor Service"
"Running","ftscanmgrhv","VMware Scanner Redirection Client"
"Running","hidserv","Human Interface Device Service"
"Running","HNS","Host Network Service"
"Running","HvHost","HV Host Service"
"Running","igccservice","Intel(R) Graphics Command Center Service"
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules"
"Running","InstallService","Microsoft Store Install Service"
"Running","IntelAudioService","Intel(R) Audio Service"
"Running","iphlpsvc","IP Helper"
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service"
"Running","KAPSService","Killer Smart AP Selection Service"
"Running","KeyIso","CNG Key Isolation"
"Running","Killer Analytics Service","Killer Analytics Service"
