#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName","Path"
"Running","AarSvc_1deaeb","Agent Activation Runtime_1deaeb",,
"Stopped","AJRouter","AllJoyn Router Service",,
"Stopped","ALG","Application Layer Gateway Service",,
"Stopped","AppIDSvc","Application Identity",,
"Running","Appinfo","Application Information",,
"Running","Apple Mobile Device Service","Apple Mobile Device Service",,
"Stopped","AppMgmt","Application Management",,
"Stopped","AppReadiness","App Readiness",,
"Stopped","AppVClient","Microsoft App-V Client",,
"Stopped","AppXSvc","AppX Deployment Service (AppXSVC)",,
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service",,
"Running","aswbIDSAgent","aswbIDSAgent",,
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",,
"Running","Audiosrv","Windows Audio",,
"Stopped","autotimesvc","Cellular Time",,
"Stopped","avast","Avast Browser Update Service (avast)",,
"Running","avast! Antivirus","Avast Antivirus",,
"Running","avast! Firewall","Avast Firewall Service",,
"Running","avast! Tools","Avast Tools",,
"Stopped","avastm","Avast Browser Update Service (avastm)",,
"Stopped","AvastSecureBrowserElevationService","Avast Secure Browser Elevation Service (AvastSecureBrowserElevationService)",,
"Running","AvastWscReporter","AvastWscReporter",,
"Running","AWCCService","AWCCService",,
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",,
"Stopped","BcastDVRUserService_1deaeb","GameDVR and Broadcast User Service_1deaeb",,
"Running","BDESVC","BitLocker Drive Encryption Service",,
"Running","BFE","Base Filtering Engine",,
"Running","BITS","Background Intelligent Transfer Service",,
"Running","BluetoothUserService_1deaeb","Bluetooth User Support Service_1deaeb",,
"Running","Bonjour Service","Bonjour Service",,
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",,
"Running","BTAGService","Bluetooth Audio Gateway Service",,
"Running","BthAvctpSvc","AVCTP service",,
"Running","bthserv","Bluetooth Support Service",,
"Running","camsvc","Capability Access Manager Service",,
"Stopped","CaptureService_1deaeb","CaptureService_1deaeb",,
"Running","cbdhsvc_1deaeb","Clipboard User Service_1deaeb",,
"Running","CDPSvc","Connected Devices Platform Service",,
"Running","CDPUserSvc_1deaeb","Connected Devices Platform User Service_1deaeb",,
"Running","CertPropSvc","Certificate Propagation",,
"Stopped","chromoting","Chrome Remote Desktop Service",,
"Running","CleanupPSvc","Avast Cleanup",,
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",,
"Running","client_service","VMware Horizon Client",,
"Stopped","ClipSVC","Client License Service (ClipSVC)",,
"Stopped","cloudidsvc","Microsoft Cloud Identity Service",,
"Running","CmService","Container Manager Service",,
"Stopped","COMSysApp","COM+ System Application",,
"Stopped","ConsentUxUserSvc_1deaeb","ConsentUX User Service_1deaeb",,
"Running","CoreMessagingRegistrar","CoreMessaging",,
"Running","cphs","Intel(R) Content Protection HECI Service",,
"Running","cplspcon","Intel(R) Content Protection HDCP Service",,
"Stopped","CredentialEnrollmentManagerUserSvc_1deaeb","CredentialEnrollmentManagerUserSvc_1deaeb",,
"Running","CryptSvc","Cryptographic Services",,
"Stopped","CscService","Offline Files",,
"Running","DcomLaunch","DCOM Server Process Launcher",,
"Stopped","dcpm-notify","Dell Command | Power Manager Notify",,
"Stopped","dcsvc","dcsvc",,
"Running","DDVCollectorSvcApi","Dell Data Vault Service API",,
"Running","DDVDataCollector","Dell Data Vault Collector",,
"Running","DDVRulesProcessor","Dell Data Vault Processor",,
"Stopped","defragsvc","Optimize drives",,
"Running","Dell Digital Delivery Services","Dell Digital Delivery Services",,
"Running","Dell Hardware Support","Dell Hardware Support",,
"Running","Dell SupportAssist Remediation","Dell SupportAssist Remediation",,
"Stopped","Dell.CommandPowerManager.Service","Dell.CommandPowerManager.Service",,
"Running","DellClientManagementService","Dell Client Management Service",,
"Stopped","DeviceAssociationBrokerSvc_1deaeb","DeviceAssociationBroker_1deaeb",,
"Running","DeviceAssociationService","Device Association Service",,
"Stopped","DeviceInstall","Device Install Service",,
"Stopped","DevicePickerUserSvc_1deaeb","DevicePicker_1deaeb",,
"Stopped","DevicesFlowUserSvc_1deaeb","DevicesFlow_1deaeb",,
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker",,
"Running","Dhcp","DHCP Client",,
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service",,
"Stopped","diagsvc","Diagnostic Execution Service",,
"Running","DiagTrack","Connected User Experiences and Telemetry",,
"Stopped","DialogBlockingService","DialogBlockingService",,
"Running","DispBrokerDesktopSvc","Display Policy Service",,
"Running","DisplayEnhancementService","Display Enhancement Service",,
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service",,
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service",,
"Running","Dnscache","DNS Client",,
"Running","DoSvc","Delivery Optimization",,
"Stopped","dot3svc","Wired AutoConfig",,
"Running","DPS","Diagnostic Policy Service",,
"Running","DriverUpdSvc","Avast Driver Updater",,
"Stopped","DsmSvc","Device Setup Manager",,
"Running","DsSvc","Data Sharing Service",,
"Running","DusmSvc","Data Usage",,
"Stopped","EapHost","Extensible Authentication Protocol",,
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)",,
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)",,
"Running","EFS","Encrypting File System (EFS)",,
"Stopped","embeddedmode","Embedded Mode",,
"Stopped","EntAppSvc","Enterprise App Management Service",,
"Running","esifsvc","Intel(R) Dynamic Tuning service",,
"Running","EventLog","Windows Event Log",,
"Running","EventSystem","COM+ Event System",,
"Stopped","Fax","Fax",,
"Stopped","fdPHost","Function Discovery Provider Host",,
