#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool","System.Collections.Generic.List`1[System.String]",,"Commercial_audit_checklist_tool.xlsx","221129","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:02 PM","12/10/2022 2:28:02 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0","System.Collections.Generic.List`1[System.String]",,"DoD_Master_Office_2010_Settings_v1.0.xlsx","319973","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:02 PM","12/10/2022 2:28:02 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","Microsoft Office 2010 Service Pack 1 Changes.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes","System.Collections.Generic.List`1[System.String]",,"Microsoft Office 2010 Service Pack 1 Changes.xlsx","40225","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:02 PM","12/10/2022 2:28:02 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","thoughtfarmer-intranet-content-migration-worksheet.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","thoughtfarmer-intranet-content-migration-worksheet","System.Collections.Generic.List`1[System.String]",,"thoughtfarmer-intranet-content-migration-worksheet.xlsx","30931","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:02 PM","12/10/2022 2:28:02 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template","System.Collections.Generic.List`1[System.String]",,"3yr-Project-Financial-Report-Template.xlsx","145129","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs","System.Collections.Generic.List`1[System.String]",,"82808-Annual Report Financial Overview Template and Graphs.xlsx","3079772","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:10 PM","12/11/2022 12:30:10 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2","System.Collections.Generic.List`1[System.String]",,"FinancialStatementFY12Q2.xlsx","78249","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:12 PM","12/11/2022 12:30:12 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414","System.Collections.Generic.List`1[System.String]",,"GPAF IMP 067 Annual Financial Report 300414.xlsx","184360","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:12 PM","12/11/2022 12:30:12 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","SBR FY 2016 Annual Report Template 7-21-16 Final","System.Collections.Generic.List`1[System.String]",,"SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","47716","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx",".xlsx","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:12 PM","12/11/2022 12:30:12 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences","2010AdoptedScienceStandards.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","System.Collections.Generic.List`1[System.String]",,"2010AdoptedScienceStandards.pdf","528847","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences","False","True","C:\Users\Hasan\Desktop\Champlain-classes\SYS-320\Week13\Homework\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf",".pdf","12/9/2022 9:50:19 PM","12/10/2022 2:50:19 AM","12/10/2022 7:30:12 PM","12/11/2022 12:30:12 AM","12/9/2022 9:28:03 PM","12/10/2022 2:28:03 AM","Archive"
